"	192",柳林,2016-12-17,,,
"	192",柳林,2016-12-18,,,
"	192",柳林,2016-12-19,11,,
"	192",柳林,2016-12-20,,,
"	192",柳林,2016-12-21,45.7,,
"	192",柳林,2016-12-22,11,,
"	192",柳林,2016-12-23,,,
"	192",柳林,2016-12-24,,,
"	192",柳林,2016-12-25,,,
"	192",柳林,2016-12-26,15.3,,
"	192",柳林,2016-12-27,1,,
"	192",柳林,2016-12-28,,,
"	192",柳林,2016-12-29,,,
"	192",柳林,2016-12-30,,,
"	192",柳林,2016-12-31,,,
"	192",柳林,2017-01-01,,,
"	192",柳林,2017-01-02,,,
"	192",柳林,2017-01-03,,,
"	192",柳林,2017-01-04,,,
"	192",柳林,2017-01-05,,,
"	192",柳林,2017-01-06,,,
"	192",柳林,2017-01-07,0,,
"	192",柳林,2017-01-08,2.9,,
"	192",柳林,2017-01-09,,,
"	192",柳林,2017-01-10,,,
"	192",柳林,2017-01-11,,,
"	192",柳林,2017-01-12,,,
"	192",柳林,2017-01-13,,,
"	192",柳林,2017-01-14,,,
"	192",柳林,2017-01-15,,,
"	192",柳林,2017-01-16,,,
"	192",柳林,2017-01-17,,,
"	192",柳林,2017-01-18,,,
"	192",柳林,2017-01-19,,,
"	192",柳林,2017-01-20,,,
"	192",柳林,2017-01-21,,,
"	192",柳林,2017-01-22,,,
"	192",柳林,2017-01-23,,,
"	192",柳林,2017-01-24,,,
"	192",柳林,2017-01-25,,,
"	192",柳林,2017-01-26,,,
"	192",柳林,2017-01-27,,,
"	192",柳林,2017-01-28,,,
"	192",柳林,2017-01-29,4.6,,
"	192",柳林,2017-01-30,0.6,,
"	192",柳林,2017-01-31,,,
"	192",柳林,2017-02-01,,,
"	192",柳林,2017-02-02,,,
"	192",柳林,2017-02-03,,,
"	192",柳林,2017-02-04,1.7,,
"	192",柳林,2017-02-05,2.7,,
"	192",柳林,2017-02-06,,,
"	192",柳林,2017-02-07,,,
"	192",柳林,2017-02-08,,,
"	192",柳林,2017-02-09,,,
"	192",柳林,2017-02-10,,,
"	192",柳林,2017-02-11,,,
"	192",柳林,2017-02-12,,,
"	192",柳林,2017-02-13,,,
"	192",柳林,2017-02-14,,,
"	192",柳林,2017-02-15,,,
"	192",柳林,2017-02-16,2.5,,
"	192",柳林,2017-02-17,0.4,,
"	192",柳林,2017-02-18,,,
"	192",柳林,2017-02-19,,,
"	192",柳林,2017-02-20,0.4,,
"	192",柳林,2017-02-21,,,
"	192",柳林,2017-02-22,30.1,,
"	192",柳林,2017-02-23,,,
"	192",柳林,2017-02-24,,,
"	192",柳林,2017-02-25,,,
"	192",柳林,2017-02-26,,,
"	192",柳林,2017-02-27,,,
"	192",柳林,2017-02-28,,,
"	192",柳林,2017-03-01,0.6,,
"	192",柳林,2017-03-02,1.3,,
"	192",柳林,2017-03-03,,,
"	192",柳林,2017-03-04,,,
"	192",柳林,2017-03-05,,,
"	192",柳林,2017-03-06,,,
"	192",柳林,2017-03-07,,,
"	192",柳林,2017-03-08,,,
"	192",柳林,2017-03-09,,,
"	192",柳林,2017-03-10,,,
"	192",柳林,2017-03-11,,,
"	192",柳林,2017-03-12,,,
"	192",柳林,2017-03-13,,,
"	192",柳林,2017-03-14,,,
"	192",柳林,2017-03-15,,,
"	192",柳林,2017-03-16,,,
"	192",柳林,2017-03-17,,,
"	192",柳林,2017-03-18,,,
"	192",柳林,2017-03-19,,,
"	192",柳林,2017-03-20,7.9,,
"	192",柳林,2017-03-21,2.3,,
"	192",柳林,2017-03-22,,,
"	192",柳林,2017-03-23,,,
"	192",柳林,2017-03-24,0,,
